,instance_index,receiver_polygon_area,transmitter_polygon_area,adversary_domain_pass_count,alpha_angle,avg_distance_receiver_adversary_boundaries,avg_distance_transmitter_adversary_boundaries,min_distance_transmitter_adversary_boundaries,min_distance_receiver_adversary_boundaries,adversary_friend_area_ratio,adversary_friend_area_ratio_reduced
3056,3111,339.74605477494316,692.3481543404245,0,86.10745091981093,14.592223494305582,36.537152312363496,27.090571616011974,2.820775494864863,0.0874827602319116,0.0
3057,3112,480.4797679620505,85.90304827093686,2,10.958192222434665,18.103392797382213,9.271531033132218,0.0,12.464553272222028,0.6300964748845208,0.6600327639622356
3058,3113,131.56139692686753,36.315531052734165,1,93.74467538186992,20.138335756195218,21.206249527404744,0.0,0.0,0.824532595721722,0.9015098447685241
3059,3114,20.766064470111306,50.16469983423401,1,45.31203132467816,12.076534556862581,15.074693166706657,0.0,0.0,0.21747164678256933,0.03346481721273068
3060,3115,25.84543136764928,496.7318239136774,3,35.23509093297519,34.7064447404291,22.234917078999903,0.0,0.0,0.29979779927460104,0.09638133160833091
3061,3116,250.63188514213982,480.7734265778416,0,137.42186491600788,8.31084950395595,35.32460707807976,29.21808081940666,0.0,0.0,0.0
3062,3117,366.72959172895486,178.14474930350258,1,67.86202771007004,14.058674450904368,8.689302656916503,0.0,0.0,0.1947257923560098,0.05113139672454085
3063,3118,129.3575933572641,116.02729756541534,1,36.417691258318925,11.566060532995317,16.480215617926575,0.0,2.995864743592318,0.49296507663146116,0.43577893527570855
3064,3119,90.49887093425957,535.4787547861738,1,113.96874401719938,12.81900319410721,17.576306305280607,0.0,0.0,0.38012819729533,0.3673911833514537
3065,3120,459.69722201623324,470.9605860172456,0,109.2679452915769,36.120779226830344,8.528576117370216,0.0,27.655388640078232,0.135136915820147,0.0
3066,3121,314.45188747294924,249.38087621657962,1,39.295906579647074,11.740376845465496,35.82183276499061,27.697880246834913,1.2396583404404675,0.3481214160689782,0.31258121160895713
3067,3122,55.67639988736846,349.59465456994553,1,55.575595437761606,31.942119733747745,27.60847800083519,0.0,0.0,0.8345016048237045,0.881232348589343
3068,3123,323.51712969414814,1251.155562160762,0,91.06825585191002,27.001434467977642,30.417139491100702,0.0,0.0,0.0,0.0
3069,3124,525.0701056790608,737.8982496239014,0,70.43839888580213,20.784266433183742,26.70838051446085,1.8399725712815618,0.0,0.01813191994273184,0.0
3070,3125,529.8334016414746,203.8688885767595,1,86.29295901492209,18.72310673171795,21.087633039116227,0.0,3.46654135250214,0.6855535330320037,0.8337434765906602
3071,3126,89.32036077345597,485.732959841305,1,83.02036614141824,19.50157090799136,15.335534738687684,0.0,0.0,0.443129891766887,0.5669731831512611
3072,3127,189.05997130823326,641.1560391966208,1,60.818483093424035,29.52359937329485,20.671049698496383,0.0,0.0,0.10550770891421715,0.001749743873292428
3073,3128,611.9946172159621,190.59184148310513,1,68.71690329767175,30.21326386912484,27.272572160414473,0.0,0.0,0.37283407307600197,0.3703097053412962
3074,3129,133.55493867209154,115.82838279370317,2,35.75520603909389,17.030663917548463,28.705916413220663,0.0,0.0,0.5165443839193576,0.5203342214697632
3075,3130,121.07306731005929,169.0461741931645,1,41.591671870718834,30.33765044011323,17.79874881817952,0.0,0.0,0.5166454892494554,0.5855112027938281
3076,3131,86.06135692077694,418.08142855043275,0,97.7675021400926,16.30125885618084,34.107892321572876,0.0,1.3971334700276175,0.3797300400261896,0.5371616086325353
3077,3132,151.0675405358112,237.19176643739945,1,89.80868481074131,34.310178950211906,15.181382381119032,0.0,0.0,0.258795926553119,0.1457075709677283
3078,3133,202.97905679538204,600.5520749292974,0,104.82425218516482,23.376333657355353,33.25725517136301,0.0,0.0,0.0,0.0
3079,3134,527.6732524110479,695.1231422112304,0,91.530173011106,31.12512479112536,23.25267594601079,0.0,0.0,0.06244898693620612,0.0
3080,3135,661.3177223046289,254.28086621519503,1,81.25317720444727,35.77019516624997,31.191321648937336,0.0,0.0,0.13379407516435488,0.0
3081,3136,126.39966616236438,589.3419590058908,0,88.63026743863604,34.08930921058186,31.90154679338225,0.0,0.0,0.1104389618464424,0.0
3082,3137,478.5198372907977,1899.077633319337,0,92.56239583603741,28.80536381768994,34.652523401163094,0.0,0.0,0.028471058395549816,0.005646788577553247
3083,3138,1090.6224927644332,568.161089605148,0,93.10403143471183,33.502808477556954,28.37175028823396,0.0,0.0,0.014642167831428415,0.0
3084,3139,28.04177037876558,51.57754659694092,1,43.111099486238956,13.869370151320403,33.203407799698766,0.0,2.663030157696402,0.570578432549777,0.702849221035846
3085,3140,124.16008488513417,516.6990662874815,0,91.05698629586713,32.34211849014861,30.079474919272904,0.0,0.0,0.01607933027908099,0.0
3086,3141,651.5510377508267,177.36420912518386,0,53.537994025436774,32.41045633842389,33.34154178482908,0.0,0.0,0.0,0.0
3087,3142,150.070399170541,117.56594622484465,1,93.90737182302735,21.19962297186369,34.320493939411335,0.0,0.0,0.7573574817788706,0.8369291508565039
3088,3143,113.74962348836253,227.07046751632473,1,61.77054546823808,32.334272748750365,21.735442967962932,0.0,0.0,0.23923800066228498,0.091611330607043
3089,3144,138.6778194477225,635.9972741440145,0,95.31636402844883,34.36735857530553,33.08428577546172,0.0,0.0,0.17495119512574844,0.0
3090,3145,497.4333372308218,121.60355904005596,0,82.9130003945823,29.54892130972073,32.86816492435411,0.0,0.0,0.07363931873811286,0.0
3091,3146,87.0885574378185,440.09481190742935,1,86.7983725841701,32.16971765899788,30.079861807158117,0.0,0.0,0.17939625665942643,0.02698880437001512
